100 303.2446 351.3078 372.5338 390.0898 456.9253 412.8177 380.0534
200 422.3247 478.2986 555.7683 639.2982 650.3753 722.3021 711.6239
300 406.3980 508.2175 550.5051 650.2856 643.0311 685.5994 654.8904
400 491.3186 494.6941 620.5895 634.8569 655.3596 662.6627 665.7734
500 499.9772 573.1926 707.5037 784.8103 856.6482 846.3924 875.8530
600 499.4476 577.2675 707.3698 798.8466 831.2533 871.7905 879.9407
700 499.6223 586.0622 730.8943 848.3056 855.6657 880.0529 889.9150
800 500.4759 581.0823 718.5320 843.2351 859.0726 878.1858 884.6320
900 500.3194 579.9619 807.0349 818.5940 860.0560 879.8164 901.8665
1000 501.3297 581.5383 693.5304 817.5853 850.5726 887.0121 908.0797
1100 500.6553 586.3702 716.3211 822.1315 860.7084 890.6297 910.9655
1200 502.0915 591.9156 971.9706 859.0001 878.7989 881.9464 903.5901
1300 501.1127 600.8195 795.0144 829.5061 853.7646 876.2653 916.4007
1400 500.2937 585.1775 720.1791 859.2426 902.2910 901.1541 904.8188
1500 500.4148 599.7991 754.8819 870.0436 903.5659 895.3889 921.8778
1600 501.7567 596.0547 824.6759 820.5951 867.0678 877.2022 907.3406
1700 500.8227 573.5624 796.0404 831.8024 858.0631 907.6050 918.9718
1800 500.7872 602.3022 730.3981 858.4971 867.2388 881.8590 913.4238
1900 499.8204 588.0587 769.6073 862.3833 899.1472 917.0312 916.0892
2000 501.8715 594.8052 853.3414 880.5568 865.2900 897.9525 909.1726
2100 501.0736 587.3049 822.3139 847.9160 870.9993 915.5663 909.9276
2200 499.5017 613.2941 798.4288 865.7124 888.2912 901.1481 920.4812
2300 501.5990 594.6044 888.0881 842.0063 903.0795 895.7799 911.9188
2400 501.4144 603.1262 829.4511 883.4832 888.3362 904.9291 919.1364
2500 500.6603 605.1735 835.4387 862.6347 902.6031 911.7436 909.2898
2600 499.7810 597.2695 886.4963 913.4427 900.3559 904.7093 929.0634
2700 501.8085 615.5380 936.0073 857.2201 913.9080 909.2429 919.4299
2800 500.4416 621.8996 871.3391 856.9927 895.5265 917.6501 918.2945
2900 500.9290 611.4242 867.8581 890.5815 899.2937 896.2880 924.2136
3000 499.9820 614.7987 877.5315 886.9919 901.9181 911.0913 917.5796
