1  256 0.043351
2  256 0.045604
4  256 0.032836
8  256 0.024967
16  256 0.023476
32  256 0.023619
64  256 0.023726
128  256 0.024504
256  256 0.026322
512  256 0.029572
1024  256 0.040029
