1  512 1.228195
2  512 0.687276
4  512 0.645054
8  512 0.650349
16  512 0.671031
32  512 0.640972
64  512 0.658614
128  512 0.639989
256  512 0.652106
512  512 0.667812
1024  512 0.678270
