m: 1 n: 128 time: 1.645876
m: 2 n: 128 time: 3.298506
m: 4 n: 128 time: 4.992390
m: 8 n: 128 time: 6.544982
m: 16 n: 128 time: 8.119679
m: 32 n: 128 time: 9.752931
m: 64 n: 128 time: 11.422992
m: 128 n: 128 time: 13.068226
m: 256 n: 128 time: 14.731919
m: 512 n: 128 time: 16.383784
m: 1024 n: 128 time: 18.005624
m: 1 n: 256 time: 30.143758
m: 2 n: 256 time: 41.738713
m: 4 n: 256 time: 52.031597
m: 8 n: 256 time: 64.068821
m: 16 n: 256 time: 76.064977
m: 32 n: 256 time: 88.146428
m: 64 n: 256 time: 100.040814
m: 128 n: 256 time: 111.773015
m: 256 n: 256 time: 123.507878
m: 512 n: 256 time: 135.441670
m: 1024 n: 256 time: 147.150447
m: 1 n: 512 time: 286.031843
m: 2 n: 512 time: 422.655323
m: 4 n: 512 time: 558.453394
m: 8 n: 512 time: 694.893228
m: 16 n: 512 time: 834.398820
m: 32 n: 512 time: 974.171183
m: 64 n: 512 time: 1114.098696
m: 128 n: 512 time: 1253.636313
m: 256 n: 512 time: 1393.439199
m: 512 n: 512 time: 1532.972359
m: 1024 n: 512 time: 1672.504524
