1  128 0.006191
2  128 0.005063
4  128 0.002345
8  128 0.002409
16  128 0.002198
32  128 0.002387
64  128 0.002683
128  128 0.003026
256  128 0.004355
512  128 0.007500
1024  128 0.019617
